Key,Count
i,2
a,4
m,3
 ,4
n,2
k,1
r,2
f,1
o,1
[Caps_Lock],1
D,1
I,2
O,2
N,1
3,2
E,1
C,2
U,1
R,2
[Win_L],17
[Shift_L],1
